VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1644860800546	-186.104	60.0911	-44.5228	0.998196	-0.00661227	-0.0595984	-0.00294131	img_Drone1__0_1644860801080028800.png
Drone1	1644860800609	-185.895	60.0295	-44.5066	0.999324	-0.000237603	-0.036756	0.000131059	img_Drone1__0_1644860801134914500.png
Drone1	1644860800660	-185.723	59.9797	-44.4973	0.999806	0.00480416	-0.0189316	0.00237217	img_Drone1__0_1644860801193730400.png
Drone1	1644860800732	-185.48	59.9098	-44.4902	0.999905	0.0117187	0.00519983	0.00511489	img_Drone1__0_1644860801266547700.png
Drone1	1644860800810	-185.217	59.8357	-44.4899	0.999351	0.0188189	0.0297978	0.00748053	img_Drone1__0_1644860801343452800.png
Drone1	1644860800876	-184.998	59.7749	-44.4955	0.998443	0.0244825	0.049312	0.00896875	img_Drone1__0_1644860801411285500.png
Drone1	1644860800939	-184.793	59.719	-44.5054	0.99729	0.0293983	0.0667041	0.00994858	img_Drone1__0_1644860801468178800.png
Drone1	1644860801011	-184.567	59.6581	-44.5217	0.995753	0.0343264	0.0847715	0.0105462	img_Drone1__0_1644860801547899600.png
Drone1	1644860801065	-184.403	59.6149	-44.537	0.994515	0.0375508	0.0970391	0.0106439	img_Drone1__0_1644860801600401900.png
Drone1	1644860801122	-184.238	59.5718	-44.5556	0.993184	0.04051	0.108793	0.0104415	img_Drone1__0_1644860801653189600.png
Drone1	1644860801200	-184.023	59.5173	-44.5846	0.991409	0.0437981	0.122862	0.00969905	img_Drone1__0_1644860801736146000.png
Drone1	1644860801263	-183.862	59.4773	-44.6106	0.990065	0.0458755	0.132627	0.00875143	img_Drone1__0_1644860801799414200.png
Drone1	1644860801329	-183.705	59.4394	-44.6396	0.988737	0.0476885	0.141669	0.00746864	img_Drone1__0_1644860801863851000.png
Drone1	1644860801383	-183.587	59.4115	-44.6643	0.987779	0.0488092	0.147887	0.00623913	img_Drone1__0_1644860801920321500.png
Drone1	1644860801440	-183.471	59.3853	-44.6912	0.986914	0.0496298	0.153346	0.00481052	img_Drone1__0_1644860801976493900.png
Drone1	1644860801503	-183.356	59.3601	-44.7214	0.986119	0.0501258	0.158264	0.00312919	img_Drone1__0_1644860802040719600.png
Drone1	1644860801593	-183.213	59.3311	-44.7646	0.985792	0.049247	0.160588	0.000676865	img_Drone1__0_1644860802132676500.png
Drone1	1644860801668	-183.115	59.3131	-44.8002	0.985383	0.0486773	0.163244	-0.00133418	img_Drone1__0_1644860802204865600.png
Drone1	1644860801740	-183.038	59.3011	-44.8336	0.985064	0.0480027	0.165333	-0.00317776	img_Drone1__0_1644860802279985400.png
Drone1	1644860801830	-182.966	59.2932	-44.8739	0.985187	0.0465085	0.164968	-0.0053034	img_Drone1__0_1644860802377097800.png
Drone1	1644860801923	-182.919	59.2931	-44.9128	0.985956	0.0438747	0.160985	-0.00711214	img_Drone1__0_1644860802474246600.png
Drone1	1644860802028	-182.9	59.3021	-44.9532	0.986793	0.0411036	0.156447	-0.00863172	img_Drone1__0_1644860802582060500.png
Drone1	1644860802118	-182.91	59.3172	-44.9843	0.987771	0.0385404	0.150774	-0.00946716	img_Drone1__0_1644860802674259900.png
Drone1	1644860802178	-182.93	59.3308	-45.0031	0.988587	0.036585	0.145817	-0.00976129	img_Drone1__0_1644860802732635200.png
Drone1	1644860802235	-182.958	59.3462	-45.0194	0.989459	0.0346135	0.140274	-0.00985258	img_Drone1__0_1644860802788906700.png
Drone1	1644860802289	-182.993	59.3629	-45.0336	0.990342	0.0325994	0.134408	-0.00976512	img_Drone1__0_1644860802844712100.png
Drone1	1644860802346	-183.039	59.3825	-45.0472	0.991314	0.0303589	0.127611	-0.00950013	img_Drone1__0_1644860802901722600.png
Drone1	1644860802403	-183.092	59.4042	-45.0594	0.992306	0.0280781	0.12024	-0.00907687	img_Drone1__0_1644860802958737200.png
Drone1	1644860802460	-183.152	59.4277	-45.0702	0.993301	0.0257507	0.112328	-0.00850782	img_Drone1__0_1644860803013839000.png
Drone1	1644860802520	-183.224	59.4542	-45.0801	0.994323	0.0232386	0.103541	-0.00776603	img_Drone1__0_1644860803074462100.png
Drone1	1644860802574	-183.294	59.4795	-45.0879	0.995214	0.0208777	0.0952099	-0.0069896	img_Drone1__0_1644860803129397100.png
Drone1	1644860802634	-183.378	59.509	-45.0953	0.996148	0.018178	0.0855733	-0.00602624	img_Drone1__0_1644860803188019200.png
Drone1	1644860802688	-183.459	59.5367	-45.101	0.996927	0.0156404	0.0765912	-0.00508379	img_Drone1__0_1644860803241592600.png
Drone1	1644860802742	-183.545	59.5652	-45.1057	0.997632	0.0130195	0.0674159	-0.00409032	img_Drone1__0_1644860803295682200.png
Drone1	1644860802799	-183.639	59.5962	-45.1099	0.998285	0.0102748	0.0575623	-0.00301384	img_Drone1__0_1644860803353509500.png
Drone1	1644860802853	-183.731	59.6261	-45.1131	0.998806	0.00772551	0.0481935	-0.00198861	img_Drone1__0_1644860803409022300.png
Drone1	1644860802907	-183.826	59.6565	-45.1157	0.999233	0.00525398	0.0387831	-0.000976637	img_Drone1__0_1644860803463139500.png
Drone1	1644860802964	-183.929	59.6889	-45.1178	0.99958	0.00267012	0.0288453	5.96088e-05	img_Drone1__0_1644860803518728900.png
Drone1	1644860803018	-184.028	59.7197	-45.1193	0.999808	0.00024811	0.0195824	0.00099538	img_Drone1__0_1644860803573952100.png
Drone1	1644860803075	-184.133	59.7523	-45.1204	0.999945	-0.00227192	0.0100249	0.0019205	img_Drone1__0_1644860803629499000.png
Drone1	1644860803129	-184.234	59.7831	-45.1211	0.999985	-0.00458476	0.00113608	0.00272388	img_Drone1__0_1644860803686303900.png
Drone1	1644860803183	-184.334	59.8135	-45.1214	0.999943	-0.0068111	-0.00744016	0.00344368	img_Drone1__0_1644860803740291000.png
Drone1	1644860803240	-184.44	59.8453	-45.1215	0.99982	-0.00903891	-0.0161476	0.0041033	img_Drone1__0_1644860803796013600.png
Drone1	1644860803321	-184.588	59.8894	-45.1212	0.999528	-0.0120073	-0.0278631	0.00485185	img_Drone1__0_1644860803876285900.png
Drone1	1644860803375	-184.685	59.9179	-45.1208	0.999268	-0.0139198	-0.035235	0.0052193	img_Drone1__0_1644860803931516900.png
Drone1	1644860803432	-184.785	59.9473	-45.1202	0.998953	-0.0157934	-0.0425891	0.00549522	img_Drone1__0_1644860803989724300.png
Drone1	1644860803498	-184.897	59.98	-45.1194	0.998552	-0.0178069	-0.0504376	0.00567021	img_Drone1__0_1644860804053172600.png
Drone1	1644860803573	-185.02	60.0153	-45.1183	0.998082	-0.0197223	-0.0584007	0.0056939	img_Drone1__0_1644860804129606300.png
Drone1	1644860803630	-185.108	60.0407	-45.1175	0.997732	-0.0209518	-0.06372	0.00559343	img_Drone1__0_1644860804187304000.png
Drone1	1644860803690	-185.197	60.0661	-45.1165	0.997374	-0.0220907	-0.0687643	0.005387	img_Drone1__0_1644860804244341600.png
Drone1	1644860803771	-185.309	60.0978	-45.1152	0.996921	-0.0233438	-0.0746955	0.00496757	img_Drone1__0_1644860804326520700.png
Drone1	1644860803855	-185.415	60.1276	-45.1139	0.99652	-0.0242962	-0.079614	0.00439274	img_Drone1__0_1644860804411764300.png
Drone1	1644860803915	-185.484	60.1468	-45.1129	0.996291	-0.0247941	-0.0823081	0.00391514	img_Drone1__0_1644860804472063100.png
Drone1	1644860803999	-185.57	60.1708	-45.1115	0.996049	-0.0252503	-0.0850787	0.00318364	img_Drone1__0_1644860804557752400.png
Drone1	1644860804080	-185.643	60.1906	-45.1101	0.995911	-0.0253359	-0.0866785	0.00244888	img_Drone1__0_1644860804640092400.png
